ID,CVF,prosity,E,mu,Strength,figure
1,0,36,1.01E+11,0.30309,745692064.5,1.png
2,0,38,1.01E+11,0.30817,858345257,2.png
3,0,37,1.01E+11,0.30566,736014533.3,3.png
4,0,38,1.01E+11,0.30677,788900529.8,4.png
5,0,36,1.01E+11,0.30869,811076571.3,5.png
6,0,36,1.01E+11,0.30953,821750168,6.png
7,0,30,1.02E+11,0.31165,858517945.6,7.png
8,0,38,1.01E+11,0.30816,791208264.7,8.png
9,0,48,99610813125,0.30201,750654364,9.png
10,0,35,1.01E+11,0.3059,819052046.9,10.png
11,0,34,1.01E+11,0.31335,726144811.5,11.png
12,0,49,98817956564,0.30885,765288535.1,12.png
13,0,31,1.02E+11,0.30461,787962798.6,13.png
14,0,34,1.02E+11,0.3061,775490915.3,14.png
15,0,33,1.01E+11,0.30838,857622088.5,15.png
16,0,39,1.01E+11,0.30918,770450898.6,16.png
17,0,39,1.00E+11,0.30643,782891658.5,17.png
18,0,44,99825106206,0.30511,725536089.6,18.png
19,0,51,99009823994,0.31275,738049975.3,19.png
20,0,43,1.00E+11,0.30594,770743149.8,20.png
21,0,51,99065529562,0.31878,778050744.2,21.png
22,0,39,1.01E+11,0.31257,829358189,22.png
23,0,30,1.02E+11,0.30409,753038696.1,23.png
24,0,28,1.02E+11,0.30291,734978348.4,24.png
25,0,39,1.00E+11,0.30658,806552256.5,25.png
26,0.01,45,1.01E+11,0.3045,791148169.9,26.png
27,0.01,50,1.01E+11,0.30805,800360368.1,27.png
28,0.01,37,1.03E+11,0.30307,789791618.3,28.png
29,0.01,40,1.02E+11,0.29936,825692999.8,29.png
30,0.01,33,1.03E+11,0.30521,860376770.5,30.png
31,0.01,40,1.03E+11,0.32044,786388024.3,31.png
32,0.01,32,1.03E+11,0.30477,797976830.3,32.png
33,0.01,32,1.03E+11,0.29984,779922174.3,33.png
34,0.01,46,1.01E+11,0.30458,789199988.8,34.png
35,0.01,33,1.03E+11,0.31967,810462406.6,35.png
36,0.01,35,1.03E+11,0.30184,769615352.6,36.png
37,0.01,50,1.01E+11,0.30173,763540898.7,37.png
38,0.01,56,99867781386,0.30764,770960332.7,38.png
39,0.01,33,1.03E+11,0.30588,795944927.7,39.png
40,0.01,41,1.02E+11,0.31306,771461423.4,40.png
41,0.01,39,1.02E+11,0.29655,823727907.6,41.png
42,0.01,49,1.01E+11,0.29923,832888579.7,42.png
43,0.01,32,1.03E+11,0.30362,829911927,43.png
44,0.01,44,1.02E+11,0.30683,797679902.4,44.png
45,0.01,26,1.04E+11,0.30773,689078052.1,45.png
46,0.01,32,1.04E+11,0.30456,840978272.9,46.png
47,0.01,42,1.02E+11,0.30631,832160403.4,47.png
48,0.01,40,1.01E+11,0.32367,809781279.5,48.png
49,0.01,39,1.02E+11,0.30483,814667956.1,49.png
50,0.01,46,1.02E+11,0.30612,707713510.4,50.png
51,0.02,54,1.02E+11,0.30767,763240876.7,51.png
52,0.02,39,1.04E+11,0.30172,809364979.6,52.png
53,0.02,36,1.04E+11,0.30117,834827016.5,53.png
54,0.02,37,1.04E+11,0.32534,853499681,54.png
55,0.02,49,1.02E+11,0.30262,813035531.1,55.png
56,0.02,40,1.04E+11,0.30397,711047967.8,56.png
57,0.02,41,1.04E+11,0.31326,799191094.3,57.png
58,0.02,38,1.04E+11,0.30579,849835940.3,58.png
59,0.02,47,1.03E+11,0.30347,798167634.2,59.png
60,0.02,32,1.05E+11,0.30047,841649403,60.png
61,0.02,37,1.04E+11,0.3071,707054527.8,61.png
62,0.02,42,1.04E+11,0.30657,806601631.9,62.png
63,0.02,33,1.05E+11,0.30565,826709675.4,63.png
64,0.02,45,1.03E+11,0.29858,684753632.7,64.png
65,0.02,45,1.03E+11,0.28275,822614178.8,65.png
66,0.02,44,1.04E+11,0.30437,780554858,66.png
67,0.02,40,1.04E+11,0.28138,815349925.7,67.png
68,0.02,46,1.03E+11,0.29797,698750967.8,68.png
69,0.02,37,1.04E+11,0.3006,828687785.8,69.png
70,0.02,51,1.02E+11,0.30338,709786784.4,70.png
71,0.02,52,1.02E+11,0.29385,816199672.3,71.png
72,0.02,42,1.04E+11,0.29735,685831603.6,72.png
73,0.02,40,1.04E+11,0.30504,806491176.5,73.png
74,0.02,39,1.04E+11,0.29912,795520204,74.png
75,0.02,26,1.06E+11,0.30362,855847284,75.png
76,0.03,36,1.06E+11,0.2998,767376492.9,76.png
77,0.03,38,1.06E+11,0.31788,794871229.7,77.png
78,0.03,36,1.06E+11,0.30047,828576527.2,78.png
79,0.03,50,1.04E+11,0.30466,794914179.7,79.png
80,0.03,39,1.06E+11,0.3011,803598285.9,80.png
81,0.03,42,1.06E+11,0.30253,854147624.7,81.png
82,0.03,40,1.05E+11,0.30094,785716670.7,82.png
83,0.03,41,1.06E+11,0.33165,751670026.4,83.png
84,0.03,35,1.06E+11,0.29952,843599985.5,84.png
85,0.03,40,1.06E+11,0.30207,800490555.5,85.png
86,0.03,44,1.05E+11,0.29726,817017679.5,86.png
87,0.03,39,1.06E+11,0.29747,785586913,87.png
88,0.03,44,1.06E+11,0.3022,790724453.4,88.png
89,0.03,35,1.06E+11,0.31276,803813780.7,89.png
90,0.03,42,1.05E+11,0.29985,835454736.6,90.png
91,0.03,43,1.05E+11,0.30036,799535953.4,91.png
92,0.03,28,1.07E+11,0.30855,826099568.1,92.png
93,0.03,40,1.06E+11,0.30244,790963460.7,93.png
94,0.03,36,1.06E+11,0.29802,842083654.4,94.png
95,0.03,40,1.05E+11,0.30212,825968555.8,95.png
96,0.03,32,1.07E+11,0.2998,884573562.8,96.png
97,0.03,41,1.05E+11,0.29932,853115947.3,97.png
98,0.03,41,1.06E+11,0.33756,780023173.3,98.png
99,0.03,38,1.06E+11,0.30894,773844169.1,99.png
100,0.03,45,1.05E+11,0.29669,805445014.1,100.png
101,0.04,35,1.08E+11,0.30041,856676002.7,101.png
102,0.04,30,1.09E+11,0.29789,853743587.2,102.png
103,0.04,32,1.08E+11,0.30116,864279411.3,103.png
104,0.04,39,1.08E+11,0.29533,838651845.7,104.png
105,0.04,23,1.10E+11,0.29769,879974654.6,105.png
106,0.04,44,1.07E+11,0.30905,737603319,106.png
107,0.04,43,1.07E+11,0.29814,836000122.6,107.png
108,0.04,35,1.08E+11,0.29834,881083699.8,108.png
109,0.04,34,1.08E+11,0.29687,796954979.8,109.png
110,0.04,42,1.07E+11,0.29795,829105942.3,110.png
111,0.04,42,1.07E+11,0.2989,770146460.7,111.png
112,0.04,35,1.08E+11,0.29459,866152627,112.png
113,0.04,41,1.07E+11,0.30045,809525419.5,113.png
114,0.04,52,1.04E+11,0.29921,680790011.7,114.png
115,0.04,37,1.08E+11,0.29788,842194966.4,115.png
116,0.04,50,1.06E+11,0.29476,792790445.1,116.png
117,0.04,42,1.07E+11,0.30099,799668102.2,117.png
118,0.04,53,1.05E+11,0.27847,787652979.9,118.png
119,0.04,40,1.07E+11,0.29947,761656869.9,119.png
120,0.04,47,1.06E+11,0.30395,717004484.9,120.png
121,0.04,38,1.07E+11,0.30059,877618295.4,121.png
122,0.04,43,1.08E+11,0.30585,822858590.9,122.png
123,0.04,39,1.07E+11,0.29632,832136830.2,123.png
124,0.04,35,1.08E+11,0.30238,835726784.4,124.png
125,0.04,35,1.08E+11,0.29473,856382171.7,125.png
126,0.05,42,1.09E+11,0.2975,830634024.4,126.png
127,0.05,50,1.08E+11,0.29565,763326956.4,127.png
128,0.05,30,1.11E+11,0.32199,847777648.5,128.png
129,0.05,34,1.10E+11,0.28729,831210694.7,129.png
130,0.05,31,1.11E+11,0.29584,880117488.7,130.png
131,0.05,40,1.09E+11,0.30055,853590122,131.png
132,0.05,36,1.10E+11,0.29237,785679317.3,132.png
133,0.05,38,1.10E+11,0.29921,729344583,133.png
134,0.05,35,1.10E+11,0.29761,877570551.5,134.png
135,0.05,47,1.08E+11,0.29865,782228437.1,135.png
136,0.05,34,1.10E+11,0.29757,783622982.7,136.png
137,0.05,36,1.10E+11,0.29238,786978492.6,137.png
138,0.05,36,1.10E+11,0.30959,887125799,138.png
139,0.05,33,1.10E+11,0.29356,857720437.8,139.png
140,0.05,41,1.09E+11,0.29748,815049709.1,140.png
141,0.05,37,1.10E+11,0.28946,836752880.6,141.png
142,0.05,38,1.09E+11,0.29551,844795617.4,142.png
143,0.05,44,1.08E+11,0.30058,735115953.9,143.png
144,0.05,39,1.10E+11,0.29658,831519055.6,144.png
145,0.05,31,1.12E+11,0.30537,898209296.2,145.png
146,0.05,31,1.11E+11,0.29766,831058505.9,146.png
147,0.05,39,1.10E+11,0.29938,880129743.6,147.png
148,0.05,41,1.09E+11,0.30109,796065125.5,148.png
149,0.05,43,1.09E+11,0.30212,787421970.1,149.png
150,0.05,47,1.08E+11,0.31079,799377813.9,150.png
151,0.06,36,1.12E+11,0.28816,826093333.7,151.png
152,0.06,31,1.13E+11,0.31181,789541888.3,152.png
